Nested Sampling Global Log-Evidence           :    0.293713889796905514E+01  +/-    0.375185198946014695E-01
Nested Importance Sampling Global Log-Evidence:    0.244609856543971382E+01  +/-    0.222990036841825973E-01

Dim No.       Mean        Sigma
   1    0.676583408638159796E+02    0.415831611478177532E+01
   2   -0.993335004294704560E+00    0.219826766330636886E+00
   3    0.959491353562855864E+00    0.143214016022903800E-01
   4    0.834733452121350084E+00    0.107095523219190678E+00
   5    0.308210300137957416E+00    0.301439877522232322E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.680486298951819037E+02
   2   -0.100235349565815723E+01
   3    0.960102796940865866E+00
   4    0.809122629404418037E+00
   5    0.310586860201164217E+00

MAP Parameters
Dim No.        Parameter
   1    0.692660833020505038E+02
   2   -0.106530151390745709E+01
   3    0.937519620435429801E+00
   4    0.729885587872285191E+00
   5    0.303890192504499224E+00
