Nested Sampling Global Log-Evidence           :   -0.187172140887843730E+01  +/-    0.220904127714869301E-01
Nested Importance Sampling Global Log-Evidence:   -0.225906411301186738E+01  +/-    0.240788153092325805E-01

Dim No.       Mean        Sigma
   1    0.666942956593393461E+02    0.436672966988830957E+01
   2   -0.965068402380097612E+00    0.234624946206973495E+00
   3    0.956654960519612185E+00    0.213044054704102509E-01
   4    0.837431800682703953E+00    0.116635306638950595E+00
   5    0.312335560853483463E+00    0.352906813263181365E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.642809055520979911E+02
   2   -0.601087209677529599E+00
   3    0.994957293540353116E+00
   4    0.715201616953784702E+00
   5    0.339960691488828848E+00

MAP Parameters
Dim No.        Parameter
   1    0.693834650516510010E+02
   2   -0.623248243331909202E+00
   3    0.980968600213527719E+00
   4    0.868458166122436537E+00
   5    0.255484089255332947E+00
